case_id,arch,fdi,tooth_id,npz_path,split
002,L,45,5,samples\002_L_t45.npz,train
002,L,46,6,samples\002_L_t46.npz,train
002,L,47,7,samples\002_L_t47.npz,train
003,U,11,1,samples\003_U_t11.npz,train
003,U,12,2,samples\003_U_t12.npz,train
003,U,13,3,samples\003_U_t13.npz,train
003,U,14,4,samples\003_U_t14.npz,train
003,U,15,5,samples\003_U_t15.npz,train
003,U,16,6,samples\003_U_t16.npz,train
003,U,17,7,samples\003_U_t17.npz,train
003,U,21,8,samples\003_U_t21.npz,train
003,U,22,9,samples\003_U_t22.npz,train
003,U,23,10,samples\003_U_t23.npz,train
003,U,24,11,samples\003_U_t24.npz,train
003,U,25,12,samples\003_U_t25.npz,train
003,U,26,13,samples\003_U_t26.npz,train
003,U,27,14,samples\003_U_t27.npz,train
003,L,31,8,samples\003_L_t31.npz,train
003,L,32,9,samples\003_L_t32.npz,train
003,L,33,10,samples\003_L_t33.npz,train
003,L,34,11,samples\003_L_t34.npz,train
003,L,35,12,samples\003_L_t35.npz,train
003,L,36,13,samples\003_L_t36.npz,train
003,L,37,14,samples\003_L_t37.npz,train
003,L,41,1,samples\003_L_t41.npz,train
003,L,42,2,samples\003_L_t42.npz,train
003,L,43,3,samples\003_L_t43.npz,train
003,L,44,4,samples\003_L_t44.npz,train
003,L,45,5,samples\003_L_t45.npz,train
003,L,46,6,samples\003_L_t46.npz,train
003,L,47,7,samples\003_L_t47.npz,train
004,U,11,1,samples\004_U_t11.npz,train
004,U,12,2,samples\004_U_t12.npz,train
004,U,13,3,samples\004_U_t13.npz,train
004,U,14,4,samples\004_U_t14.npz,train
004,U,15,5,samples\004_U_t15.npz,train
004,U,16,6,samples\004_U_t16.npz,train
004,U,17,7,samples\004_U_t17.npz,train
004,U,21,8,samples\004_U_t21.npz,train
004,U,22,9,samples\004_U_t22.npz,train
004,U,23,10,samples\004_U_t23.npz,train
004,U,24,11,samples\004_U_t24.npz,train
004,U,25,12,samples\004_U_t25.npz,train
004,U,26,13,samples\004_U_t26.npz,train
004,U,27,14,samples\004_U_t27.npz,train
004,L,31,8,samples\004_L_t31.npz,train
004,L,32,9,samples\004_L_t32.npz,train
004,L,33,10,samples\004_L_t33.npz,train
004,L,34,11,samples\004_L_t34.npz,train
004,L,35,12,samples\004_L_t35.npz,train
004,L,36,13,samples\004_L_t36.npz,train
004,L,37,14,samples\004_L_t37.npz,train
004,L,41,1,samples\004_L_t41.npz,train
004,L,42,2,samples\004_L_t42.npz,train
004,L,43,3,samples\004_L_t43.npz,train
004,L,44,4,samples\004_L_t44.npz,train
004,L,45,5,samples\004_L_t45.npz,train
004,L,46,6,samples\004_L_t46.npz,train
004,L,47,7,samples\004_L_t47.npz,train
005,U,11,1,samples\005_U_t11.npz,train
005,U,12,2,samples\005_U_t12.npz,train
005,U,13,3,samples\005_U_t13.npz,train
005,U,14,4,samples\005_U_t14.npz,train
005,U,15,5,samples\005_U_t15.npz,train
005,U,16,6,samples\005_U_t16.npz,train
005,U,17,7,samples\005_U_t17.npz,train
005,U,21,8,samples\005_U_t21.npz,train
005,U,22,9,samples\005_U_t22.npz,train
005,U,23,10,samples\005_U_t23.npz,train
005,U,24,11,samples\005_U_t24.npz,train
005,U,25,12,samples\005_U_t25.npz,train
005,U,26,13,samples\005_U_t26.npz,train
005,U,27,14,samples\005_U_t27.npz,train
005,L,31,8,samples\005_L_t31.npz,train
005,L,32,9,samples\005_L_t32.npz,train
005,L,33,10,samples\005_L_t33.npz,train
005,L,34,11,samples\005_L_t34.npz,train
005,L,35,12,samples\005_L_t35.npz,train
005,L,36,13,samples\005_L_t36.npz,train
005,L,37,14,samples\005_L_t37.npz,train
005,L,41,1,samples\005_L_t41.npz,train
005,L,42,2,samples\005_L_t42.npz,train
005,L,43,3,samples\005_L_t43.npz,train
005,L,44,4,samples\005_L_t44.npz,train
005,L,45,5,samples\005_L_t45.npz,train
005,L,46,6,samples\005_L_t46.npz,train
005,L,47,7,samples\005_L_t47.npz,train
006,U,11,1,samples\006_U_t11.npz,train
006,U,12,2,samples\006_U_t12.npz,train
006,U,13,3,samples\006_U_t13.npz,train
006,U,14,4,samples\006_U_t14.npz,train
006,U,15,5,samples\006_U_t15.npz,train
006,U,16,6,samples\006_U_t16.npz,train
006,U,17,7,samples\006_U_t17.npz,train
006,U,21,8,samples\006_U_t21.npz,train
006,U,22,9,samples\006_U_t22.npz,train
006,U,23,10,samples\006_U_t23.npz,train
006,U,24,11,samples\006_U_t24.npz,train
006,U,25,12,samples\006_U_t25.npz,train
006,U,26,13,samples\006_U_t26.npz,train
006,U,27,14,samples\006_U_t27.npz,train
006,L,31,8,samples\006_L_t31.npz,train
006,L,32,9,samples\006_L_t32.npz,train
006,L,33,10,samples\006_L_t33.npz,train
006,L,34,11,samples\006_L_t34.npz,train
006,L,35,12,samples\006_L_t35.npz,train
006,L,36,13,samples\006_L_t36.npz,train
006,L,37,14,samples\006_L_t37.npz,train
006,L,41,1,samples\006_L_t41.npz,train
006,L,42,2,samples\006_L_t42.npz,train
006,L,43,3,samples\006_L_t43.npz,train
006,L,44,4,samples\006_L_t44.npz,train
006,L,45,5,samples\006_L_t45.npz,train
006,L,46,6,samples\006_L_t46.npz,train
006,L,47,7,samples\006_L_t47.npz,train
007,U,11,1,samples\007_U_t11.npz,train
007,U,12,2,samples\007_U_t12.npz,train
007,U,13,3,samples\007_U_t13.npz,train
007,U,14,4,samples\007_U_t14.npz,train
007,U,15,5,samples\007_U_t15.npz,train
007,U,16,6,samples\007_U_t16.npz,train
007,U,17,7,samples\007_U_t17.npz,train
007,U,21,8,samples\007_U_t21.npz,train
007,U,22,9,samples\007_U_t22.npz,train
007,U,23,10,samples\007_U_t23.npz,train
007,U,24,11,samples\007_U_t24.npz,train
007,U,25,12,samples\007_U_t25.npz,train
007,U,26,13,samples\007_U_t26.npz,train
007,U,27,14,samples\007_U_t27.npz,train
007,L,31,8,samples\007_L_t31.npz,train
007,L,32,9,samples\007_L_t32.npz,train
007,L,33,10,samples\007_L_t33.npz,train
007,L,34,11,samples\007_L_t34.npz,train
007,L,35,12,samples\007_L_t35.npz,train
007,L,36,13,samples\007_L_t36.npz,train
007,L,37,14,samples\007_L_t37.npz,train
007,L,41,1,samples\007_L_t41.npz,train
007,L,42,2,samples\007_L_t42.npz,train
007,L,43,3,samples\007_L_t43.npz,train
007,L,44,4,samples\007_L_t44.npz,train
007,L,45,5,samples\007_L_t45.npz,train
007,L,46,6,samples\007_L_t46.npz,train
007,L,47,7,samples\007_L_t47.npz,train
008,U,11,1,samples\008_U_t11.npz,train
008,U,12,2,samples\008_U_t12.npz,train
008,U,13,3,samples\008_U_t13.npz,train
008,U,14,4,samples\008_U_t14.npz,train
008,U,15,5,samples\008_U_t15.npz,train
008,U,16,6,samples\008_U_t16.npz,train
008,U,17,7,samples\008_U_t17.npz,train
008,U,21,8,samples\008_U_t21.npz,train
008,U,22,9,samples\008_U_t22.npz,train
008,U,23,10,samples\008_U_t23.npz,train
008,U,24,11,samples\008_U_t24.npz,train
008,U,25,12,samples\008_U_t25.npz,train
008,U,26,13,samples\008_U_t26.npz,train
008,U,27,14,samples\008_U_t27.npz,train
008,L,31,8,samples\008_L_t31.npz,train
008,L,32,9,samples\008_L_t32.npz,train
008,L,33,10,samples\008_L_t33.npz,train
008,L,34,11,samples\008_L_t34.npz,train
008,L,35,12,samples\008_L_t35.npz,train
008,L,36,13,samples\008_L_t36.npz,train
008,L,37,14,samples\008_L_t37.npz,train
008,L,41,1,samples\008_L_t41.npz,train
008,L,42,2,samples\008_L_t42.npz,train
008,L,43,3,samples\008_L_t43.npz,train
008,L,44,4,samples\008_L_t44.npz,train
008,L,45,5,samples\008_L_t45.npz,train
008,L,46,6,samples\008_L_t46.npz,train
008,L,47,7,samples\008_L_t47.npz,train
009,U,11,1,samples\009_U_t11.npz,train
009,U,12,2,samples\009_U_t12.npz,train
009,U,13,3,samples\009_U_t13.npz,train
009,U,14,4,samples\009_U_t14.npz,train
009,U,15,5,samples\009_U_t15.npz,train
009,U,16,6,samples\009_U_t16.npz,train
009,U,17,7,samples\009_U_t17.npz,train
009,U,21,8,samples\009_U_t21.npz,train
009,U,22,9,samples\009_U_t22.npz,train
009,U,23,10,samples\009_U_t23.npz,train
009,U,24,11,samples\009_U_t24.npz,train
009,U,25,12,samples\009_U_t25.npz,train
009,U,26,13,samples\009_U_t26.npz,train
009,U,27,14,samples\009_U_t27.npz,train
009,L,31,8,samples\009_L_t31.npz,train
009,L,32,9,samples\009_L_t32.npz,train
009,L,33,10,samples\009_L_t33.npz,train
009,L,34,11,samples\009_L_t34.npz,train
009,L,35,12,samples\009_L_t35.npz,train
009,L,36,13,samples\009_L_t36.npz,train
009,L,37,14,samples\009_L_t37.npz,train
009,L,41,1,samples\009_L_t41.npz,train
009,L,42,2,samples\009_L_t42.npz,train
009,L,43,3,samples\009_L_t43.npz,train
009,L,44,4,samples\009_L_t44.npz,train
009,L,45,5,samples\009_L_t45.npz,train
009,L,46,6,samples\009_L_t46.npz,train
009,L,47,7,samples\009_L_t47.npz,train
010,U,11,1,samples\010_U_t11.npz,train
010,U,12,2,samples\010_U_t12.npz,train
010,U,13,3,samples\010_U_t13.npz,train
010,U,14,4,samples\010_U_t14.npz,train
010,U,15,5,samples\010_U_t15.npz,train
010,U,16,6,samples\010_U_t16.npz,train
010,U,17,7,samples\010_U_t17.npz,train
010,U,21,8,samples\010_U_t21.npz,train
010,U,22,9,samples\010_U_t22.npz,train
010,U,23,10,samples\010_U_t23.npz,train
010,U,24,11,samples\010_U_t24.npz,train
010,U,25,12,samples\010_U_t25.npz,train
010,U,26,13,samples\010_U_t26.npz,train
010,U,27,14,samples\010_U_t27.npz,train
010,L,31,8,samples\010_L_t31.npz,train
010,L,32,9,samples\010_L_t32.npz,train
010,L,33,10,samples\010_L_t33.npz,train
010,L,34,11,samples\010_L_t34.npz,train
010,L,35,12,samples\010_L_t35.npz,train
010,L,36,13,samples\010_L_t36.npz,train
010,L,37,14,samples\010_L_t37.npz,train
010,L,41,1,samples\010_L_t41.npz,train
010,L,42,2,samples\010_L_t42.npz,train
010,L,43,3,samples\010_L_t43.npz,train
010,L,44,4,samples\010_L_t44.npz,train
010,L,45,5,samples\010_L_t45.npz,train
010,L,46,6,samples\010_L_t46.npz,train
010,L,47,7,samples\010_L_t47.npz,train
011,U,11,1,samples\011_U_t11.npz,train
011,U,12,2,samples\011_U_t12.npz,train
011,U,13,3,samples\011_U_t13.npz,train
011,U,14,4,samples\011_U_t14.npz,train
011,U,15,5,samples\011_U_t15.npz,train
011,U,16,6,samples\011_U_t16.npz,train
011,U,17,7,samples\011_U_t17.npz,train
011,U,21,8,samples\011_U_t21.npz,train
011,U,22,9,samples\011_U_t22.npz,train
011,U,23,10,samples\011_U_t23.npz,train
011,U,24,11,samples\011_U_t24.npz,train
011,U,25,12,samples\011_U_t25.npz,train
011,U,26,13,samples\011_U_t26.npz,train
011,U,27,14,samples\011_U_t27.npz,train
011,L,31,8,samples\011_L_t31.npz,train
011,L,32,9,samples\011_L_t32.npz,train
011,L,33,10,samples\011_L_t33.npz,train
011,L,34,11,samples\011_L_t34.npz,train
011,L,35,12,samples\011_L_t35.npz,train
011,L,36,13,samples\011_L_t36.npz,train
011,L,37,14,samples\011_L_t37.npz,train
011,L,41,1,samples\011_L_t41.npz,train
011,L,42,2,samples\011_L_t42.npz,train
011,L,43,3,samples\011_L_t43.npz,train
011,L,44,4,samples\011_L_t44.npz,train
011,L,45,5,samples\011_L_t45.npz,train
011,L,46,6,samples\011_L_t46.npz,train
011,L,47,7,samples\011_L_t47.npz,train
012,U,11,1,samples\012_U_t11.npz,train
012,U,12,2,samples\012_U_t12.npz,train
012,U,13,3,samples\012_U_t13.npz,train
012,U,14,4,samples\012_U_t14.npz,train
012,U,15,5,samples\012_U_t15.npz,train
012,U,16,6,samples\012_U_t16.npz,train
012,U,17,7,samples\012_U_t17.npz,train
012,U,21,8,samples\012_U_t21.npz,train
012,U,22,9,samples\012_U_t22.npz,train
012,U,23,10,samples\012_U_t23.npz,train
012,U,24,11,samples\012_U_t24.npz,train
012,U,25,12,samples\012_U_t25.npz,train
012,U,26,13,samples\012_U_t26.npz,train
012,U,27,14,samples\012_U_t27.npz,train
012,L,31,8,samples\012_L_t31.npz,train
012,L,32,9,samples\012_L_t32.npz,train
012,L,33,10,samples\012_L_t33.npz,train
012,L,34,11,samples\012_L_t34.npz,train
012,L,35,12,samples\012_L_t35.npz,train
012,L,36,13,samples\012_L_t36.npz,train
012,L,37,14,samples\012_L_t37.npz,train
012,L,41,1,samples\012_L_t41.npz,train
012,L,42,2,samples\012_L_t42.npz,train
012,L,43,3,samples\012_L_t43.npz,train
012,L,44,4,samples\012_L_t44.npz,train
012,L,45,5,samples\012_L_t45.npz,train
012,L,46,6,samples\012_L_t46.npz,train
012,L,47,7,samples\012_L_t47.npz,train
013,U,11,1,samples\013_U_t11.npz,train
013,U,12,2,samples\013_U_t12.npz,train
013,U,13,3,samples\013_U_t13.npz,train
013,U,14,4,samples\013_U_t14.npz,train
013,U,15,5,samples\013_U_t15.npz,train
013,U,16,6,samples\013_U_t16.npz,train
013,U,17,7,samples\013_U_t17.npz,train
013,U,21,8,samples\013_U_t21.npz,train
013,U,22,9,samples\013_U_t22.npz,train
013,U,23,10,samples\013_U_t23.npz,train
013,U,24,11,samples\013_U_t24.npz,train
013,U,25,12,samples\013_U_t25.npz,train
013,U,26,13,samples\013_U_t26.npz,train
013,U,27,14,samples\013_U_t27.npz,train
013,L,31,8,samples\013_L_t31.npz,train
013,L,32,9,samples\013_L_t32.npz,train
013,L,33,10,samples\013_L_t33.npz,train
013,L,34,11,samples\013_L_t34.npz,train
013,L,35,12,samples\013_L_t35.npz,train
013,L,36,13,samples\013_L_t36.npz,train
013,L,37,14,samples\013_L_t37.npz,train
013,L,41,1,samples\013_L_t41.npz,train
013,L,42,2,samples\013_L_t42.npz,train
013,L,43,3,samples\013_L_t43.npz,train
013,L,44,4,samples\013_L_t44.npz,train
013,L,45,5,samples\013_L_t45.npz,train
013,L,46,6,samples\013_L_t46.npz,train
013,L,47,7,samples\013_L_t47.npz,train
014,U,11,1,samples\014_U_t11.npz,train
014,U,12,2,samples\014_U_t12.npz,train
014,U,13,3,samples\014_U_t13.npz,train
014,U,14,4,samples\014_U_t14.npz,train
014,U,15,5,samples\014_U_t15.npz,train
014,U,16,6,samples\014_U_t16.npz,train
014,U,17,7,samples\014_U_t17.npz,train
014,U,21,8,samples\014_U_t21.npz,train
014,U,22,9,samples\014_U_t22.npz,train
014,U,23,10,samples\014_U_t23.npz,train
014,U,24,11,samples\014_U_t24.npz,train
014,U,25,12,samples\014_U_t25.npz,train
014,U,26,13,samples\014_U_t26.npz,train
014,U,27,14,samples\014_U_t27.npz,train
014,L,31,8,samples\014_L_t31.npz,train
014,L,32,9,samples\014_L_t32.npz,train
014,L,33,10,samples\014_L_t33.npz,train
014,L,34,11,samples\014_L_t34.npz,train
014,L,35,12,samples\014_L_t35.npz,train
014,L,36,13,samples\014_L_t36.npz,train
014,L,37,14,samples\014_L_t37.npz,train
014,L,41,1,samples\014_L_t41.npz,train
014,L,42,2,samples\014_L_t42.npz,train
014,L,43,3,samples\014_L_t43.npz,train
014,L,44,4,samples\014_L_t44.npz,train
014,L,45,5,samples\014_L_t45.npz,train
014,L,46,6,samples\014_L_t46.npz,train
014,L,47,7,samples\014_L_t47.npz,train
015,U,11,1,samples\015_U_t11.npz,train
015,U,12,2,samples\015_U_t12.npz,train
015,U,13,3,samples\015_U_t13.npz,train
015,U,14,4,samples\015_U_t14.npz,train
015,U,15,5,samples\015_U_t15.npz,train
015,U,16,6,samples\015_U_t16.npz,train
015,U,17,7,samples\015_U_t17.npz,train
015,U,21,8,samples\015_U_t21.npz,train
015,U,22,9,samples\015_U_t22.npz,train
015,U,23,10,samples\015_U_t23.npz,train
015,U,24,11,samples\015_U_t24.npz,train
015,U,25,12,samples\015_U_t25.npz,train
015,U,26,13,samples\015_U_t26.npz,train
015,U,27,14,samples\015_U_t27.npz,train
015,L,31,8,samples\015_L_t31.npz,train
015,L,32,9,samples\015_L_t32.npz,train
015,L,33,10,samples\015_L_t33.npz,train
015,L,34,11,samples\015_L_t34.npz,train
015,L,35,12,samples\015_L_t35.npz,train
015,L,36,13,samples\015_L_t36.npz,train
015,L,37,14,samples\015_L_t37.npz,train
015,L,41,1,samples\015_L_t41.npz,train
015,L,42,2,samples\015_L_t42.npz,train
015,L,43,3,samples\015_L_t43.npz,train
015,L,44,4,samples\015_L_t44.npz,train
015,L,45,5,samples\015_L_t45.npz,train
015,L,46,6,samples\015_L_t46.npz,train
015,L,47,7,samples\015_L_t47.npz,train
016,U,11,1,samples\016_U_t11.npz,train
016,U,12,2,samples\016_U_t12.npz,train
016,U,13,3,samples\016_U_t13.npz,train
016,U,14,4,samples\016_U_t14.npz,train
016,U,15,5,samples\016_U_t15.npz,train
016,U,16,6,samples\016_U_t16.npz,train
016,U,17,7,samples\016_U_t17.npz,train
016,U,21,8,samples\016_U_t21.npz,train
016,U,22,9,samples\016_U_t22.npz,train
016,U,23,10,samples\016_U_t23.npz,train
016,U,24,11,samples\016_U_t24.npz,train
016,U,25,12,samples\016_U_t25.npz,train
016,U,26,13,samples\016_U_t26.npz,train
016,U,27,14,samples\016_U_t27.npz,train
016,L,31,8,samples\016_L_t31.npz,train
016,L,32,9,samples\016_L_t32.npz,train
016,L,33,10,samples\016_L_t33.npz,train
016,L,34,11,samples\016_L_t34.npz,train
016,L,35,12,samples\016_L_t35.npz,train
016,L,36,13,samples\016_L_t36.npz,train
016,L,37,14,samples\016_L_t37.npz,train
016,L,41,1,samples\016_L_t41.npz,train
016,L,42,2,samples\016_L_t42.npz,train
016,L,43,3,samples\016_L_t43.npz,train
016,L,44,4,samples\016_L_t44.npz,train
016,L,45,5,samples\016_L_t45.npz,train
016,L,46,6,samples\016_L_t46.npz,train
016,L,47,7,samples\016_L_t47.npz,train
017,U,11,1,samples\017_U_t11.npz,train
017,U,12,2,samples\017_U_t12.npz,train
017,U,13,3,samples\017_U_t13.npz,train
017,U,14,4,samples\017_U_t14.npz,train
017,U,15,5,samples\017_U_t15.npz,train
017,U,16,6,samples\017_U_t16.npz,train
017,U,17,7,samples\017_U_t17.npz,train
017,U,21,8,samples\017_U_t21.npz,train
017,U,22,9,samples\017_U_t22.npz,train
017,U,23,10,samples\017_U_t23.npz,train
017,U,24,11,samples\017_U_t24.npz,train
017,U,25,12,samples\017_U_t25.npz,train
017,U,26,13,samples\017_U_t26.npz,train
017,U,27,14,samples\017_U_t27.npz,train
017,L,31,8,samples\017_L_t31.npz,train
017,L,32,9,samples\017_L_t32.npz,train
017,L,33,10,samples\017_L_t33.npz,train
017,L,34,11,samples\017_L_t34.npz,train
017,L,35,12,samples\017_L_t35.npz,train
017,L,36,13,samples\017_L_t36.npz,train
017,L,37,14,samples\017_L_t37.npz,train
017,L,41,1,samples\017_L_t41.npz,train
017,L,42,2,samples\017_L_t42.npz,train
017,L,43,3,samples\017_L_t43.npz,train
017,L,44,4,samples\017_L_t44.npz,train
017,L,45,5,samples\017_L_t45.npz,train
017,L,46,6,samples\017_L_t46.npz,train
017,L,47,7,samples\017_L_t47.npz,train
018,U,11,1,samples\018_U_t11.npz,train
018,U,12,2,samples\018_U_t12.npz,train
018,U,13,3,samples\018_U_t13.npz,train
018,U,14,4,samples\018_U_t14.npz,train
018,U,15,5,samples\018_U_t15.npz,train
018,U,16,6,samples\018_U_t16.npz,train
018,U,17,7,samples\018_U_t17.npz,train
018,U,21,8,samples\018_U_t21.npz,train
018,U,22,9,samples\018_U_t22.npz,train
018,U,23,10,samples\018_U_t23.npz,train
018,U,24,11,samples\018_U_t24.npz,train
018,U,25,12,samples\018_U_t25.npz,train
018,U,26,13,samples\018_U_t26.npz,train
018,U,27,14,samples\018_U_t27.npz,train
018,L,31,8,samples\018_L_t31.npz,train
018,L,32,9,samples\018_L_t32.npz,train
018,L,33,10,samples\018_L_t33.npz,train
018,L,34,11,samples\018_L_t34.npz,train
018,L,35,12,samples\018_L_t35.npz,train
018,L,36,13,samples\018_L_t36.npz,train
018,L,37,14,samples\018_L_t37.npz,train
018,L,41,1,samples\018_L_t41.npz,train
018,L,42,2,samples\018_L_t42.npz,train
018,L,43,3,samples\018_L_t43.npz,train
018,L,44,4,samples\018_L_t44.npz,train
018,L,45,5,samples\018_L_t45.npz,train
018,L,46,6,samples\018_L_t46.npz,train
018,L,47,7,samples\018_L_t47.npz,train
019,U,11,1,samples\019_U_t11.npz,train
019,U,12,2,samples\019_U_t12.npz,train
019,U,13,3,samples\019_U_t13.npz,train
019,U,14,4,samples\019_U_t14.npz,train
019,U,15,5,samples\019_U_t15.npz,train
019,U,16,6,samples\019_U_t16.npz,train
019,U,17,7,samples\019_U_t17.npz,train
019,U,21,8,samples\019_U_t21.npz,train
019,U,22,9,samples\019_U_t22.npz,train
019,U,23,10,samples\019_U_t23.npz,train
019,U,24,11,samples\019_U_t24.npz,train
019,U,25,12,samples\019_U_t25.npz,train
019,U,26,13,samples\019_U_t26.npz,train
019,U,27,14,samples\019_U_t27.npz,train
019,L,31,8,samples\019_L_t31.npz,train
019,L,32,9,samples\019_L_t32.npz,train
019,L,33,10,samples\019_L_t33.npz,train
019,L,34,11,samples\019_L_t34.npz,train
019,L,35,12,samples\019_L_t35.npz,train
019,L,36,13,samples\019_L_t36.npz,train
019,L,37,14,samples\019_L_t37.npz,train
019,L,41,1,samples\019_L_t41.npz,train
019,L,42,2,samples\019_L_t42.npz,train
019,L,43,3,samples\019_L_t43.npz,train
019,L,44,4,samples\019_L_t44.npz,train
019,L,45,5,samples\019_L_t45.npz,train
019,L,46,6,samples\019_L_t46.npz,train
019,L,47,7,samples\019_L_t47.npz,train
020,U,11,1,samples\020_U_t11.npz,train
020,U,12,2,samples\020_U_t12.npz,train
020,U,13,3,samples\020_U_t13.npz,train
020,U,14,4,samples\020_U_t14.npz,train
020,U,15,5,samples\020_U_t15.npz,train
020,U,16,6,samples\020_U_t16.npz,train
020,U,17,7,samples\020_U_t17.npz,train
020,U,21,8,samples\020_U_t21.npz,train
020,U,22,9,samples\020_U_t22.npz,train
020,U,23,10,samples\020_U_t23.npz,train
020,U,24,11,samples\020_U_t24.npz,train
020,U,25,12,samples\020_U_t25.npz,train
020,U,26,13,samples\020_U_t26.npz,train
020,U,27,14,samples\020_U_t27.npz,train
020,L,31,8,samples\020_L_t31.npz,train
020,L,32,9,samples\020_L_t32.npz,train
020,L,33,10,samples\020_L_t33.npz,train
020,L,34,11,samples\020_L_t34.npz,train
020,L,35,12,samples\020_L_t35.npz,train
020,L,36,13,samples\020_L_t36.npz,train
020,L,37,14,samples\020_L_t37.npz,train
020,L,41,1,samples\020_L_t41.npz,train
020,L,42,2,samples\020_L_t42.npz,train
020,L,43,3,samples\020_L_t43.npz,train
020,L,44,4,samples\020_L_t44.npz,train
020,L,45,5,samples\020_L_t45.npz,train
020,L,46,6,samples\020_L_t46.npz,train
020,L,47,7,samples\020_L_t47.npz,train
021,U,11,1,samples\021_U_t11.npz,train
021,U,12,2,samples\021_U_t12.npz,train
021,U,13,3,samples\021_U_t13.npz,train
021,U,14,4,samples\021_U_t14.npz,train
021,U,15,5,samples\021_U_t15.npz,train
021,U,16,6,samples\021_U_t16.npz,train
021,U,17,7,samples\021_U_t17.npz,train
021,U,21,8,samples\021_U_t21.npz,train
021,U,22,9,samples\021_U_t22.npz,train
021,U,23,10,samples\021_U_t23.npz,train
021,U,24,11,samples\021_U_t24.npz,train
021,U,25,12,samples\021_U_t25.npz,train
021,U,26,13,samples\021_U_t26.npz,train
021,U,27,14,samples\021_U_t27.npz,train
021,L,31,8,samples\021_L_t31.npz,train
021,L,32,9,samples\021_L_t32.npz,train
021,L,33,10,samples\021_L_t33.npz,train
021,L,34,11,samples\021_L_t34.npz,train
021,L,35,12,samples\021_L_t35.npz,train
021,L,36,13,samples\021_L_t36.npz,train
021,L,37,14,samples\021_L_t37.npz,train
021,L,41,1,samples\021_L_t41.npz,train
021,L,42,2,samples\021_L_t42.npz,train
021,L,43,3,samples\021_L_t43.npz,train
021,L,44,4,samples\021_L_t44.npz,train
021,L,45,5,samples\021_L_t45.npz,train
021,L,46,6,samples\021_L_t46.npz,train
021,L,47,7,samples\021_L_t47.npz,train
022,U,11,1,samples\022_U_t11.npz,train
022,U,12,2,samples\022_U_t12.npz,train
022,U,13,3,samples\022_U_t13.npz,train
022,U,14,4,samples\022_U_t14.npz,train
022,U,15,5,samples\022_U_t15.npz,train
022,U,16,6,samples\022_U_t16.npz,train
022,U,17,7,samples\022_U_t17.npz,train
022,U,21,8,samples\022_U_t21.npz,train
022,U,22,9,samples\022_U_t22.npz,train
022,U,23,10,samples\022_U_t23.npz,train
022,U,24,11,samples\022_U_t24.npz,train
022,U,25,12,samples\022_U_t25.npz,train
022,U,26,13,samples\022_U_t26.npz,train
022,U,27,14,samples\022_U_t27.npz,train
022,L,31,8,samples\022_L_t31.npz,train
022,L,32,9,samples\022_L_t32.npz,train
022,L,33,10,samples\022_L_t33.npz,train
022,L,34,11,samples\022_L_t34.npz,train
